Gene	Transcripts
CACNB2	NM_000724.4
MRPS18A	NM_018135.3
DLD	NM_000108.5
SYNC	NM_030786.3
GSG1L2	NM_001310219.1
NIF3L1	NM_021824.3
NECTIN3	NM_015480.3
NLRP5	NM_153447.4
GRXCR1	NM_001080476.2
CEBPE	NM_001805.3
OS9	NM_006812.4
TINAGL1	NM_022164.3
MOSMO	NM_001164579.2
PCYOX1L	NM_024028.4
CFAP20DC	NM_198463.4
HIVEP1	NM_002114.4
FAM236B	NM_001348072.1
HAL	NM_001258333.1
DOT1L	NM_032482.3
PPP1R18	NM_133471.4
KLK4	NM_004917.4
TMCO2	NM_001008740.4
FMO2	NM_001460.5
FOXD4L1	NM_012184.4
C22orf39	NM_173793.4
KCNK12	NM_022055.2
ZMYM1	NM_024772.5
ARID4B	NM_016374.6
ANXA8	NM_001040084.3
ZNF112	NM_013380.4
CCDC32	NM_052849.4
OR4C15	NM_001001920.2
FAM133A	NM_173698.3
MTMR4	NM_004687.5
LIMA1	NM_016357.5
LYL1	NM_005583.5
EEF1B2	NM_001037663.1
ENTPD8	NM_198585.3
MEIOC	NM_001145080.3
TMX3	NM_019022.5
COX6B2	NM_144613.5
COMMD10	NM_016144.4
H1-7	NM_181788.1
ITPR1	NM_002222.6
ZIM3	NM_052882.1
RRAS	NM_006270.5
ZBTB40	NM_014870.4
CD63	NM_001257389.1
AHCYL1	NM_001242673.1
ARX	NM_139058.3
SYNGR1	NM_004711.5
F8	NM_000132.3
ZNF124	NM_003431.3
CD27	NM_001242.4
RBM12B	NM_203390.3
STPG4	NM_173649.3
ATAT1	NM_024909.4
VPS36	NM_001282168.2
RBM34	NM_015014.4
ACTC1	NM_005159.5
ZC2HC1C	NM_001042430.3
TMEM260	NM_017799.4
UHRF1BP1L	NM_001006947.2
HMCN1	NM_031935.3
PAWR	NM_002583.4
CFAP91	NM_033364.4
GNPNAT1	NM_198066.4
ATOX1	NM_004045.4
CCDC57	NM_198082.4
SPATA21	NM_198546.1
DIP2C	NM_014974.3
OR10H3	NM_013938.1
RPP38	NM_006414.5
WDR37	NM_014023.4
ATP6V1D	NM_015994.4
DYNC2I2	NM_052844.3
C3orf70	NM_001025266.3
GLUD1	NM_005271.5
BAIAP2	NM_001144888.2
THNSL2	NM_018271.4
KMT2B	NM_014727.2
LRRC14B	NM_001080478.3
LRIG2	NM_014813.3
C9orf129	NM_001098808.1
FAM98A	NM_015475.5
NOTCH1	NM_017617.5
MBL2	NM_000242.2
SOX11	NM_003108.4
PCDHB5	NM_015669.5
SUN5	NM_080675.4
RAB11B	NM_004218.4
MAMSTR	NM_182574.2
NELL2	NM_006159.2
CDK5RAP1	NM_016408.4
REEP3	NM_001001330.3
SLC12A7	NM_006598.3
FAM83D	NM_030919.3
SYT14	NM_153262.4
GEMIN4	NM_015721.3
MTERF2	NM_025198.4
RTTN	NM_173630.4
PLAAT2	NM_017878.2
ADARB2	NM_018702.4
SLC15A4	NM_145648.4
SMIM11A	NM_058182.4
PYGM	NM_005609.4
BCL2L14	NM_030766.1
CST11	NM_130794.2
DUS3L	NM_020175.3
TPMT	NM_000367.4
MRPS9	NM_182640.3
POLK	NM_016218.3
VPS54	NM_016516.3
ZACN	NM_180990.4
SLC25A48	NM_145282.4
CPLX1	NM_006651.4
FSHR	NM_000145.4
PLGLB1	NM_001032392.2
DHRSX	NM_145177.3
APPBP2	NM_006380.5
PSMB3	NM_002795.4
SMIM10	NM_001163438.2
ZDHHC15	NM_144969.3
CXorf38	NM_144970.3
GDI2	NM_001494.4
MARCHF11	NM_001102562.3
TANC1	NM_001145909.1
GPSM1	NM_015597.6
RSBN1	NM_018364.4
ZNF471	NM_020813.4
PTPRE	NM_001316676.2
DTD2	NM_080664.3
PCDHGA2	NM_018915.4
DOK2	NM_003974.4
CDK5R1	NM_003885.3
PRDM15	NM_022115.4
GALR2	NM_003857.4
GOLGA8G	NM_001350919.2
NUTM2F	NM_017561.2
OR56A4	NM_001005179.3
MYL1	NM_079420.3
TBC1D19	NM_018317.4
KCTD21	NM_001029859.3
SP140L	NM_138402.5
FAM117B	NM_173511.4
KCNH5	NM_139318.5
MSH2	NM_000251.3
RRM2	NM_001034.4
ACTR3C	NM_001164458.1
ID3	NM_002167.5
RTL6	NM_032287.3
ZNF81	NM_007137.3
CNGA2	NM_005140.1
STAT2	NM_005419.4
ALYREF	NM_005782.4
RPF1	NM_025065.7
LSM14A	NM_015578.3
ZNF251	NM_138367.2
ZNF497	NM_198458.3
HIP1	NM_005338.7
ZNF181	NM_001029997.4
HSD3B7	NM_001142777.2
AKAP8	NM_005858.4
ERF	NM_006494.4
MRC1	NM_002438.4
TRIM67	NM_001004342.4
GFRA2	NM_001495.5
H4C4	NM_003539.3
NUDT12	NM_031438.4
OR1I1	NM_001004713.1
NRF1	NM_001040110.1
BAX	NM_138763.4
KCTD16	NM_020768.4
FABP7	NM_001446.5
LDLRAD3	NM_174902.4
TRERF1	NM_033502.4
UTP3	NM_020368.3
GPX1	NM_000581.4
OR6K2	NM_001005279.2
RIDA	NM_005836.3
BCAS2	NM_005872.3
CXADR	NM_001207063.2
EGFLAM	NM_152403.4
ZKSCAN3	NM_024493.4
RAB11FIP2	NM_014904.3
LRRC74A	NM_194287.3
FBXW7	NM_001013415.2
KCTD17	NM_024681.3
ELOVL6	NM_024090.3
ZNF493	NM_175910.7
CHCHD7	NM_024300.4
GOT1L1	NM_152413.3
INSM2	NM_032594.4
HEYL	NM_014571.4
GSE1	NM_014615.5
AK5	NM_174858.3
ATP5MG	NM_006476.5
TGIF2-RAB5IF	NM_001199535.2
TMEM209	NM_032842.4
FAM222B	NM_018182.4
VAPB	NM_001195677.2
OTUD1	NM_001145373.2
CHST8	NM_022467.3
ICAM1	NM_000201.3
SULT1C2	NM_176825.3
IFNGR1	NM_000416.2
COX10	NM_001303.4
SLC1A6	NM_005071.2
ANXA3	NM_005139.3
TIPARP	NM_015508.5
EPHA5	NM_004439.8
YOD1	NM_018566.3
FAM174A	NM_198507.3
SPIB	NM_003121.5
RUVBL1	NM_001319084.2
RPS6KA4	NM_003942.3
LSM1	NM_014462.3
CCDC58	NM_001017928.4
OR2A1	NM_001005287.1
GNAI2	NM_002070.4
MICU3	NM_181723.3
DTYMK	NM_012145.4
HSD17B1	NM_000413.4
USP17L30	NM_001256867.1
TPM1	NM_001018004.2
FGFR2	NM_000141.4
RAD21	NM_006265.3
MPRIP	NM_015134.4
OST4	NM_001134693.2
TMPPE	NM_001039770.3
UBAC1	NM_016172.3
LLPH	NM_032338.4
GCHFR	NM_005258.3
OR51E2	NM_030774.4
GLO1	NM_006708.3
SHQ1	NM_018130.3
ZNF613	NM_024840.4
RAB8B	NM_016530.3
NAV1	NM_020443.4
OR51I1	NM_001005288.2
TIMD4	NM_138379.3
PRPF38B	NM_018061.4
ANKRD34B	NM_001004441.3
ATP6V1C2	NM_144583.4
SPATA33	NM_153025.2
MPP4	NM_033066.3
CAPS	NM_004058.5
SRM	NM_003132.3
ATAD1	NM_032810.3
LACTBL1	NM_001289974.2
POLD2	NM_001127218.2
DEFB126	NM_030931.4
FABP2	NM_000134.4
ITM2B	NM_021999.5
CPT1C	NM_152359.2
KIAA0100	NM_014680.5
FERMT3	NM_031471.6
TEX36	NM_001128202.3
CCDC144A	NM_014695.3
GNL2	NM_013285.3
SLC4A1	NM_000342.4
PGK2	NM_138733.5
NHS	NM_198270.4
STXBP5L	NM_001308330.2
CHCHD2	NM_016139.4
ACTR5	NM_024855.4
ERBB2	NM_004448.3
FZD6	NM_003506.4
CTSA	NM_000308.3
HMX2	NM_005519.1
NKX6-2	NM_177400.3
PHGDH	NM_006623.4
PSMB6	NM_002798.3
VMA21	NM_001017980.3
CHKB	NM_005198.4
NFIA	NM_005595.5
SFN	NM_006142.5
CTDSPL2	NM_016396.3
SCN3B	NM_018400.3
MAGEB18	NM_173699.4
GALNT4	NM_003774.5
CD300A	NM_007261.4
SMCR8	NM_144775.3
CSTA	NM_005213.4
CUL1	NM_003592.3
RTN4RL2	NM_178570.3
HPN	NM_002151.2
SREK1IP1	NM_173829.4
DEPDC5	NM_014662.5
NSMF	NM_015537.4
NDC80	NM_006101.3
CDX1	NM_001804.3
TBC1D30	NM_015279.2
IFI44	NM_006417.5
MCTP2	NM_018349.3
CNOT6L	NM_001286790.2
OR10A5	NM_178168.1
TTC29	NM_031956.3
EPHX2	NM_001979.6
CTSV	NM_001333.4
LRRC4C	NM_020929.2
TSPEAR	NM_144991.3
EFNA2	NM_001405.4
FAM118B	NM_024556.4
S100A7A	NM_176823.4
ALAD	NM_001003945.2
TLN2	NM_015059.2
STARD8	NM_014725.4
CRELD2	NM_024324.5
PCDHA13	NM_018904.3
SLC4A3	NM_005070.4
RNFT2	NM_032814.4
PTPRN2	NM_001308267.2
DBP	NM_001352.5
LCN1	NM_002297.4
UBXN2B	NM_001077619.2
C10orf62	NM_001009997.3
CAVIN3	NM_145040.3
HSDL1	NM_031463.5
LPAR4	NM_005296.3
SIGLEC1	NM_023068.4
CIDEC	NM_022094.3
CYTL1	NM_018659.3
UBA6	NM_018227.6
WDR13	NM_001166426.3
NTHL1	NM_002528.7
RAB11FIP4	NM_032932.6
HAGHL	NM_032304.4
GFUS	NM_003313.4
LAMB2	NM_002292.4
H2AX	NM_002105.2
DCDC2C	NM_001287444.2
RLN2	NM_134441.3
MAF1	NM_032272.5
SPNS2	NM_001124758.3
LYPD8	NM_001085474.2
ACAD9	NM_014049.5
POC1A	NM_015426.5
IGSF6	NM_005849.4
ATP1A2	NM_000702.4
TBXT	NM_003181.3
APH1B	NM_031301.4
SPATS2L	NM_015535.3
C12orf43	NM_022895.3
WDR17	NM_001350727.2
RPGRIP1	NM_020366.3
EBLN1	NM_001199938.1
SERP2	NM_001010897.3
ENO3	NM_001193503.2
SYCE2	NM_001105578.2
COASY	NM_025233.7
HOXA1	NM_005522.4
SSBP3	NM_018070.5
ZBTB47	NM_145166.4
LMBR1L	NM_018113.3
YIPF6	NM_173834.4
HARS2	NM_012208.4
FSHB	NM_000510.3
LBHD1	NM_024099.3
CBWD3	NM_201453.3
ARL8B	NM_018184.3
FAM104B	NM_138362.4
NKAIN3	NM_001304533.2
STK17A	NM_004760.3
TGIF1	NM_170695.4
C4orf48	NM_001141936.3
ATXN3L	NM_001135995.1
SPATA16	NM_031955.6
EIF2A	NM_032025.5
CSTF3	NM_001326.3
SPTB	NM_001024858.3
TRPC5OS	NM_001195576.1
CSNKA2IP	NM_001368165.1
RNF145	NM_144726.2
E2F2	NM_004091.4
NME4	NM_005009.3
NIPSNAP3A	NM_015469.3
UMPS	NM_000373.4
OR8S1	NM_001005203.2
CCDC163	NM_001102601.3
CNBD2	NM_080834.4
MYD88	NM_002468.5
IRS2	NM_003749.3
PROKR2	NM_144773.3
TFPI	NM_006287.6
PSMD3	NM_002809.4
CBWD5	NM_001024916.3
DDB2	NM_000107.2
PLEC	NM_000445.5
RNF166	NM_178841.4
FBL	NM_001436.4
CLEC5A	NM_013252.3
NFYA	NM_002505.5
SSRP1	NM_003146.3
DENND6B	NM_001001794.4
LRRC75B	NM_207644.3
UBALD2	NM_182565.4
ISCU	NM_014301.4
C2orf74	NM_001143959.2
TMEM250	NM_152833.3
HTR5A	NM_024012.3
DEFB105A	NM_152250.2
CD28	NM_006139.4
AFG3L2	NM_006796.3
NAAA	NM_001042402.2
TXNIP	NM_006472.6
NT5E	NM_001204813.1
DNAJC17	NM_018163.3
MOB1A	NM_018221.5
IMP3	NM_018285.3
TM4SF1	NM_014220.3
PTPRM	NM_001105244.1
OR4K5	NM_001005483.1
CCDC114	NM_144577.4
RGS17	NM_012419.5
COPS5	NM_006837.3
CLASP1	NM_015282.3
B4GALT7	NM_007255.3
SHOC2	NM_007373.3
ODF3L1	NM_175881.5
BCAR1	NM_014567.5
KIFBP	NM_015634.4
MGAT1	NM_001114618.1
SLC45A3	NM_033102.3
SLC35A3	NM_012243.3
CSN2	NM_001302770.1
GOLGA6L4	NM_001267536.3
SEBOX	NM_001080837.3
MNS1	NM_018365.4
DCLK2	NM_001040260.4
MGAT3	NM_002409.5
TPH2	NM_173353.4
HCN1	NM_021072.4
GOLT1A	NM_198447.2
ATP13A2	NM_022089.4
PI4K2B	NM_018323.4
XYLB	NM_005108.4
CATSPER3	NM_178019.3
OR4L1	NM_001004717.1
CACTIN	NM_001080543.2
CPNE8	NM_153634.3
ZNF684	NM_152373.4
PDE9A	NM_001001567.1
HOXD11	NM_021192.3
MFAP3	NM_005927.5
ASCL2	NM_005170.2
SH3GLB1	NM_016009.5
RAB3D	NM_004283.4
RPS5	NM_001009.4
MTNR1A	NM_005958.4
SCNM1	NM_024041.4
USP31	NM_020718.3
BLNK	NM_013314.3
TAS2R8	NM_023918.1
WAC	NM_100264.3
ORM2	NM_000608.2
CYP4F3	NM_000896.3
LY75	NM_002349.4
TMEM59	NM_004872.5
CNTN4	NM_001206955.1
INSR	NM_000208.4
GID4	NM_024052.5
CNTNAP2	NM_014141.6
GDPD1	NM_182569.4
FBXO7	NM_001033024.1
SRRM5	NM_001145641.2
PALLD	NM_016081.4
PLEKHF1	NM_024310.5
SSTR2	NM_001050.3
HRNR	NM_001009931.2
SLC2A4	NM_001042.3
BCDIN3D	NM_181708.3
ZFAT	NM_001029939.4
CCDC102B	NM_024781.3
FAM86C1P	NM_152563.2
EMC4	NM_016454.4
NDFIP1	NM_030571.4
KRTAP12-4	NM_198698.1
OR5T1	NM_001004745.1
TRMT10C	NM_017819.4
FCN3	NM_003665.3
VPS4B	NM_004869.4
PRR35	NM_145270.3
HINFP	NM_015517.5
CAB39	NM_016289.4
CPQ	NM_016134.4
CHMP4C	NM_152284.4
SMARCA2	NM_003070.5
DPF2	NM_006268.5
APPL2	NM_018171.5
OR6S1	NM_001001968.1
SOBP	NM_018013.4
RABL3	NM_173825.5
FXYD5	NM_014164.6
SUV39H1	NM_003173.4
APOA4	NM_000482.4
POLR2K	NM_005034.4
MAB21L1	NM_005584.5
SHF	NM_138356.3
SUMF2	NM_015411.4
C2orf68	NM_001013649.4
ZFP41	NM_173832.6
CCDC69	NM_015621.3
HERC2	NM_004667.5
TUBB4B	NM_006088.6
DTX3	NM_178502.4
KIAA0513	NM_014732.3
PGM1	NM_002633.3
C12orf75	NM_001145199.2
HSPB2	NM_001541.4
PLEKHG2	NM_022835.3
PSMG4	NM_001128591.2
TLL1	NM_001204760.2
RNF168	NM_152617.4
ZBTB38	NM_001080412.3
IRX4	NM_016358.3
CCDC160	NM_001101357.2
IGSF3	NM_001542.4
ZNF415	NM_018355.3
SKI	NM_003036.4
BIRC5	NM_001168.3
THRA	NM_001190918.2
CCDC85A	NM_001080433.2
PLXNA4	NM_181775.3
PPP1R16A	NM_032902.7
C9orf64	NM_032307.5
DNAJC10	NM_018981.4
GPR68	NM_001177676.2
C11orf53	NM_198498.3
AMY1B	NM_001008218.1
PIGK	NM_005482.3
NLGN4Y	NM_014893.4
TBX19	NM_005149.3
CRHR1	NM_001145146.2
UQCRQ	NM_014402.5
PTPN7	NM_002832.3
ABHD12B	NM_001206673.2
AQP8	NM_001169.3
BMP2	NM_001200.4
BNIP1	NM_013979.3
CAMK1D	NM_020397.4
FZD7	NM_003507.1
PLEKHA2	NM_021623.2
SEMA7A	NM_003612.5
GJB2	NM_004004.6
VDAC2	NM_003375.4
ITFG2	NM_018463.4
ZNF711	NM_021998.5
KLF18	NM_001358438.1
FBXO41	NM_001080410.4
METTL18	NM_033418.4
OR5H6	NM_001005479.2
ALG10B	NM_001013620.4
RNASET2	NM_003730.6
TDP2	NM_016614.3
CRIPT	NM_014171.6
RFX8	NM_001145664.2
AGL	NM_000028.2
RAB31	NM_006868.4
RNF150	NM_020724.2
C2orf81	NM_001145054.1
C19orf73	NM_018111.3
SNX5	NM_001282454.2
NDE1	NM_017668.3
CCDC168	NM_001146197.3
GPR135	NM_022571.6
SAA1	NM_199161.5
DEFB118	NM_054112.3
TBC1D22B	NM_017772.4
CITED2	NM_001168388.2
ZNF398	NM_020781.4
CPA3	NM_001870.4
CERS2	NM_022075.5
GSG1L	NM_144675.2
NAE1	NM_003905.4
GAL3ST2	NM_022134.3
NRN1	NM_001278710.1
ANAPC2	NM_013366.4
MARCHF7	NM_022826.4
RAPGEF1	NM_005312.3
ZNF410	NM_021188.3
TSBP1	NM_006781.5
SNTN	NM_001080537.2
DBX1	NM_001029865.4
PDE1C	NM_001191056.3
DAP	NM_004394.3
GTF2H2C	NM_001098728.2
RMDN1	NM_016033.3
SNAPC4	NM_003086.3
GALNTL5	NM_145292.4
GLTPD2	NM_001014985.3
SELENON	NM_020451.3
SPSB1	NM_025106.4
CCDC177	NM_001271507.2
COQ8A	NM_020247.5
APOB	NM_000384.3
FECH	NM_000140.4
HSD17B4	NM_000414.4
RPS21	NM_001024.4
TBX6	NM_004608.3
TSPYL2	NM_022117.4
DAZL	NM_001351.4
SLC25A27	NM_004277.5
MTHFD2	NM_006636.4
ERG	NM_182918.4
SP110	NM_080424.2
FAXC	NM_032511.4
SLFN14	NM_001129820.2
IL27	NM_145659.3
KTI12	NM_138417.3
PRELID3B	NM_016045.3
PIP5KL1	NM_173492.1
CAPZB	NM_001206540.3
EOGT	NM_173654.3
NSG2	NM_015980.5
PPP6R1	NM_014931.4
LTF	NM_002343.6
ZNF229	NM_014518.4
S100Z	NM_130772.4
STK4	NM_006282.5
NAXE	NM_144772.3
PCDHGA5	NM_018918.2
HSD17B8	NM_014234.5
KCNIP3	NM_013434.5
VPS25	NM_032353.4
ZNF335	NM_022095.4
DPY19L1	NM_001366673.1
DMAC1	NM_033428.3
HMGB1	NM_002128.7
CATSPER4	NM_198137.1
GDPD2	NM_017711.3
OSBPL1A	NM_080597.4
STMP1	NM_001130929.2
MEAF6	NM_022756.6
HS1BP3	NM_022460.4
SNX10	NM_001199835.1
PRSS57	NM_214710.5
PDILT	NM_174924.2
UGT1A5	NM_019078.1
ARFIP2	NM_012402.3
WASHC5	NM_014846.4
GPN2	NM_018066.4
FBXL18	NM_024963.6
ECE1	NM_001397.3
TADA2A	NM_001488.4
DEFB104A	NM_080389.3
OVCA2	NM_080822.3
CAPN15	NM_005632.3
ABITRAM	NM_017832.4
GTF2A1	NM_015859.4
ZNF608	NM_020747.2
MAP3K1	NM_005921.2
GPR50	NM_004224.3
SLCO4C1	NM_180991.5
ABCF2	NM_005692.4
IL25	NM_022789.3
CHST7	NM_019886.4
IER2	NM_004907.3
KCNK17	NM_031460.4
SLC1A3	NM_004172.5
ZNF575	NM_174945.2
HJURP	NM_018410.5
PPEF1	NM_006240.2
CMTM4	NM_178818.3
PSME4	NM_014614.3
FAM169B	NM_182562.3
WASL	NM_003941.4
TPH1	NM_004179.3
IFT80	NM_020800.3
DCAF8L2	NM_001353448.2
GLOD5	NM_001080489.3
NEK9	NM_033116.6
ADGRL2	NM_012302.4
IDE	NM_004969.4
CHRAC1	NM_017444.6
PAFAH1B2	NM_002572.4
EMC7	NM_020154.3
MON2	NM_015026.3
KCND3	NM_172198.2
INKA1	NM_203370.2
ARPC1A	NM_006409.4
C1GALT1C1L	NM_001101330.3
S100A12	NM_005621.2
MYOM3	NM_152372.4
ZNF747	NM_023931.3
BSX	NM_001098169.2
UGGT1	NM_020120.4
NOX3	NM_015718.3
CEBPA	NM_004364.4
SOX9	NM_000346.4
CNTFR	NM_001207011.1
FABP3	NM_004102.5
CENPBD1	NM_145039.3
MAP4K5	NM_006575.5
RPS29	NM_001030001.4
LACRT	NM_033277.2
IZUMO1	NM_182575.3
SNAPC1	NM_003082.4
ARRB2	NM_004313.4
ZNF8	NM_021089.3
PCDHGA3	NM_018916.4
CTPS2	NM_019857.5
PDE6G	NM_001365724.1
BCL11A	NM_022893.4
ELP2	NM_018255.4
MYCBP2	NM_015057.5
PRSS35	NM_153362.3
ZRSR2	NM_005089.3
KRTAP3-3	NM_033185.3
STMN2	NM_007029.4
MS4A12	NM_001164470.1
POTEH	NM_001136213.1
UBR4	NM_020765.3
SEPTIN7	NM_001788.5
KCNJ16	NM_018658.2
PLN	NM_002667.5
TRAT1	NM_016388.4
DNAJB13	NM_153614.3
FAM151A	NM_176782.3
GJC3	NM_181538.3
SGPP1	NM_030791.4
ZNF583	NM_152478.3
FBXO39	NM_153230.3
IBA57	NM_001010867.4
DUSP2	NM_004418.4
FOXF1	NM_001451.3
VPS28	NM_016208.4
DSG4	NM_177986.5
BCAP31	NM_005745.7
GNA15	NM_002068.4
PRMT5	NM_001039619.3
TCN2	NM_000355.4
ZNRF3	NM_001206998.2
DEFB109B	NM_001037380.1
POLR2H	NM_006232.4
ADH5	NM_000671.4
WDR61	NM_025234.3
CYB5R3	NM_000398.7
ALDH7A1	NM_001182.5
ZNF517	NM_213605.2
WWC3	NM_015691.3
PHF3	NM_001290259.2
PRPF38A	NM_032864.4
LCN2	NM_005564.5
SPAST	NM_199436.1
TNS3	NM_022748.12
TRIM59	NM_173084.3
PIWIL2	NM_001135721.2
DDR1	NM_013994.2
FAM32A	NM_014077.4
FAIM	NM_001033032.2
DNAJC3	NM_006260.5
IQUB	NM_178827.5
AUP1	NM_181575.5
MAGED4	NM_001098800.3
STN1	NM_024928.5
RXFP4	NM_181885.2
POTEJ	NM_001277083.2
C3AR1	NM_004054.4
NOSTRIN	NM_052946.3
RPL30	NM_000989.4
IMP4	NM_033416.3
YES1	NM_005433.4
ST20-MTHFS	NM_001199760.1
MCM10	NM_182751.3
PRM2	NM_001286356.2
TCF19	NM_007109.3
TMPRSS11D	NM_004262.3
GOLGA6B	NM_018652.4
ZNF43	NM_003423.4
SETSIP	NM_001287737.1
STARD9	NM_020759.3
PRKDC	NM_001081640.2
VDAC1	NM_003374.3
CAPN5	NM_004055.5
CCSER2	NM_018999.4
GOLGB1	NM_004487.5
RARS1	NM_002887.4
ZNF91	NM_003430.4
HOMER1	NM_004272.5
FRRS1L	NM_014334.3
UBE2A	NM_003336.4
EDF1	NM_001281297.2
SHANK1	NM_016148.5
ENO4	NM_001242699.2
PHF2	NM_005392.4
MAGEB3	NM_002365.4
YPEL1	NM_013313.5
SULF2	NM_018837.3
BOP1	NM_015201.5
TP53I3	NM_004881.5
BNIP3L	NM_004331.3
EIF5A2	NM_020390.6
CORO7	NM_024535.5
ARSH	NM_001011719.2
ACVR1C	NM_145259.3
SNRPE	NM_003094.4
SELENBP1	NM_001258288.2
GRAP	NM_006613.4
APOOL	NM_198450.6
GDF15	NM_004864.4
SIRT3	NM_001017524.2
GCH1	NM_000161.3
HCFC2	NM_013320.3
TLN1	NM_006289.4
TIMP2	NM_003255.5
KIF26A	NM_015656.1
TMEM138	NM_016464.5
IQCN	NM_001145304.2
OR12D3	NM_030959.3
ITGAD	NM_005353.3
CTBS	NM_004388.3
COTL1	NM_021149.5
RDH12	NM_152443.3
IDH2	NM_002168.2
KRT32	NM_002278.3
CIC	NM_001304815.1
CXCR1	NM_000634.3
MEI4	NM_001282136.2
AAAS	NM_001173466.2
FAM8A1	NM_016255.3
ETFB	NM_001014763.1
ALDH9A1	NM_000696.3
FAM102B	NM_001010883.3
GNG10	NM_001017998.4
CNOT3	NM_014516.4
HPS4	NM_022081.5
JKAMP	NM_001098625.2
TMEM62	NM_024956.4
DNAAF2	NM_001083908.1
PSMB9	NM_002800.5
ATOH1	NM_005172.2
GLT8D2	NM_031302.4
RAB7A	NM_004637.6
PSMB5	NM_002797.5
ENPP5	NM_001290072.2
PHYH	NM_001037537.1
ZNF131	NM_003432.3
CCDC191	NM_020817.2
MED16	NM_005481.3
ZNF300	NM_052860.2
CORO1C	NM_014325.3
ANKFY1	NM_016376.5
STC2	NM_003714.2
EPHX3	NM_024794.3
RBFOX2	NM_001031695.4
FAHD1	NM_001018104.2
ANTXR2	NM_058172.6
ZFYVE19	NM_032850.5
VPS33A	NM_001351018.2
C8orf58	NM_001013842.3
AGMO	NM_001004320.2
CLASRP	NM_007056.3
OR56A5	NM_001146033.1
TPSB2	NM_024164.6
TEX33	NM_178552.4
KRT77	NM_175078.3
SIRPG	NM_018556.4
KRTAP3-2	NM_031959.3
FDCSP	NM_152997.4
PPM1K	NM_152542.5
TMSB15B	NM_194324.4
SORCS3	NM_014978.3
ZMAT5	NM_019103.2
ANKMY2	NM_020319.3
DOCK3	NM_004947.5
RNF130	NM_018434.6
PALM3	NM_001145028.2
RPSA	NM_002295.6
PROZ	NM_003891.3
USP22	NM_015276.2
DSTN	NM_001011546.2
SLC9A1	NM_003047.5
PCED1B	NM_138371.3
TTLL11	NM_001139442.1
GNGT2	NM_031498.2
CYP2R1	NM_024514.4
PRPF3	NM_004698.4
FBXO47	NM_001008777.3
PUDP	NM_012080.5
TRIM73	NM_198924.3
ZNF716	NM_001159279.1
POLD1	NM_001256849.1
SOX6	NM_033326.3
STX12	NM_177424.3
ZNF507	NM_014910.5
AWAT1	NM_001013579.3
ADPRM	NM_020233.5
CYP11B1	NM_000497.3
FGL2	NM_006682.3
TATDN3	NM_001042552.3
TFRC	NM_001128148.3
MBD3L1	NM_145208.2
NOS3	NM_000603.5
WDR82	NM_025222.4
GATC	NM_176818.3
CNTNAP1	NM_003632.3
FMC1	NM_197964.5
BCL11B	NM_138576.4
GLUL	NM_002065.6
NODAL	NM_018055.5
AGRP	NM_001138.2
CIAO2A	NM_032231.7
DR1	NM_001938.3
NUCKS1	NM_022731.5
MBD3L2B	NM_001364674.1
GLS2	NM_013267.4
SLC22A24	NM_173586.3
PRKD1	NM_002742.3
KRTAP27-1	NM_001077711.1
ALPK2	NM_052947.4
DHX30	NM_138615.3
SPATA19	NM_174927.3
OR14A16	NM_001001966.1
SLITRK6	NM_032229.3
SMIM31	NM_001352885.1
CYLD	NM_001042355.2
SLC5A8	NM_145913.5
CHD8	NM_020920.4
OR4F6	NM_001005326.1
HTN3	NM_000200.3
CD70	NM_001252.5
CHI3L2	NM_004000.3
KRT25	NM_181534.4
RNF34	NM_194271.2
LRP2	NM_004525.3
RMDN3	NM_018145.3
BIVM-ERCC5	NM_001204425.1
CHRNB1	NM_000747.3
HTR1D	NM_000864.4
DPM1	NM_003859.2
DEK	NM_001134709.2
ANKRD16	NM_019046.3
DVL1	NM_004421.3
TDRD5	NM_173533.5
LIN7B	NM_022165.3
TLE2	NM_003260.5
IBTK	NM_015525.4
PLPPR3	NM_024888.2
DEFB103A	NM_001081551.4
H3C1	NM_003529.2
CHMP2B	NM_014043.4
AKAP8L	NM_014371.4
CNTF	NM_000614.4
SLC10A7	NM_032128.4
C6orf15	NM_014070.3
TCEANC2	NM_153035.3
ORAI1	NM_032790.3
GPRIN3	NM_198281.3
HYKK	NM_001013619.4
CCDC85C	NM_001144995.2
ZNF580	NM_016202.2
CIT	NM_007174.3
SNX32	NM_152760.3
RHCG	NM_016321.3
CTSF	NM_003793.4
SRSF1	NM_006924.5
CNTN6	NM_014461.4
TRIQK	NM_001171795.2
SEC16A	NM_014866.2
CFAP43	NM_025145.6
TKTL1	NM_012253.4
GPR89A	NM_001097612.2
ITGB7	NM_000889.3
RSPH6A	NM_030785.4
ABCB10	NM_012089.3
ALOX15	NM_001140.5
H4C1	NM_003538.3
STAC	NM_003149.2
KIF3A	NM_007054.7
FAR2	NM_018099.5
VAMP5	NM_006634.3
GPR63	NM_001143957.3
HPSE2	NM_021828.4
NRXN2	NM_015080.4
ZSCAN18	NM_023926.4
THAP2	NM_031435.4
ZNF705G	NM_001164457.3
ZCWPW1	NM_017984.5
GPIHBP1	NM_178172.6
CDON	NM_016952.4
PCLO	NM_014510.3
ITPRIPL1	NM_178495.6
ENDOG	NM_004435.2
PRR3	NM_025263.4
CFP	NM_002621.2
KLF3	NM_016531.6
EBP	NM_006579.3
OR5AU1	NM_001004731.3
GAST	NM_000805.5
